date,platform,campaign_id,campaign_name,objective,ad_group_id,ad_group_name,impressions,clicks,spend,conversions,conversion_value,video_views,video_watch_25,video_watch_50,video_watch_75,video_watch_100,likes,shares,comments,reach,frequency,quality_score,search_impression_share,engagements,engagement_rate,ctr,cpc,cpm,cvr,cpa,roas,video_view_rate,video_completion_rate,source_file
2024-01-01,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,45623,892,127.50,12,,8234,,,,,,,,38234,1.1900,,,,0.0195,0.0196,0.14,2.79,0.0135,10.62,,0.1805,,01_facebook_ads.csv
2024-01-01,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.80,34,,1234,,,,,,,,9876,1.2600,,,,0.0455,0.0455,0.38,17.32,0.0600,6.35,,0.0991,,01_facebook_ads.csv
2024-01-01,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,34567,1234,189.90,23,,4567,,,,,,,,28934,1.1900,,,,0.0357,0.0357,0.15,5.49,0.0186,8.26,,0.1321,,01_facebook_ads.csv
2024-01-01,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,23456,1234,234.50,45,2250.00,,,,,,,,,,,9.0000,0.9200,,,0.0526,0.19,10.00,0.0365,5.21,9.5949,,,02_google_ads.csv
2024-01-01,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,45678,890,567.80,23,1150.00,,,,,,,,,,,7.0000,0.4500,,,0.0195,0.64,12.43,0.0258,24.69,2.0254,,,02_google_ads.csv
2024-01-01,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,67890,2345,423.60,67,3350.00,,,,,,,,,,,8.0000,0.6700,,,0.0345,0.18,6.24,0.0286,6.32,7.9084,,,02_google_ads.csv
2024-01-01,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,234567,3456,456.70,34,,198234,156234,98234,67234,45234,8923,2345,567,,,,,11835,0.0505,0.0147,0.13,1.95,0.0098,13.43,,0.8451,0.2282,03_tiktok_ads.csv
2024-01-01,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,123456,2345,678.90,67,,89234,67234,45234,34234,23456,4567,1234,234,,,,,6035,0.0489,0.0190,0.29,5.50,0.0286,10.13,,0.7228,0.2629,03_tiktok_ads.csv
2024-01-01,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,189234,2890,345.60,23,,145678,112345,89234,56789,34567,6789,1890,456,,,,,9135,0.0483,0.0153,0.12,1.83,0.0080,15.03,,0.7698,0.2373,03_tiktok_ads.csv
2024-01-02,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,42345,823,118.20,10,,7890,,,,,,,,36789,1.1500,,,,0.0194,0.0194,0.14,2.79,0.0122,11.82,,0.1863,,01_facebook_ads.csv
2024-01-02,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,13678,623,234.50,38,,1456,,,,,,,,10234,1.3400,,,,0.0455,0.0455,0.38,17.14,0.0610,6.17,,0.1064,,01_facebook_ads.csv
2024-01-02,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,36789,1345,201.30,25,,4890,,,,,,,,30123,1.2200,,,,0.0366,0.0366,0.15,5.47,0.0186,8.05,,0.1329,,01_facebook_ads.csv
2024-01-02,Google,g_5001,Search_Brand_Terms,Search,gad_6001,Brand_Exact,24567,1289,245.60,48,2400.00,,,,,,,,,,,9.0000,0.9100,,,0.0525,0.19,10.00,0.0372,5.12,9.7720,,,02_google_ads.csv
2024-01-02,Google,g_5002,Search_Generic_Terms,Search,gad_6002,Product_Broad,43234,823,534.20,21,1050.00,,,,,,,,,,,7.0000,0.4400,,,0.0190,0.65,12.36,0.0255,25.44,1.9656,,,02_google_ads.csv
2024-01-02,Google,g_5003,Shopping_All_Products,Shopping,gad_6003,Best_Sellers,71234,2456,445.80,71,3550.00,,,,,,,,,,,8.0000,0.6800,,,0.0345,0.18,6.26,0.0289,6.28,7.9632,,,02_google_ads.csv
2024-01-02,TikTok,tt_8001,Awareness_GenZ,Awareness,ttad_9001,Dance_Challenge,245678,3678,478.90,36,,207345,163456,102345,70234,47234,9234,2456,589,,,,,12279,0.0500,0.0150,0.13,1.95,0.0098,13.30,,0.8440,0.2278,03_tiktok_ads.csv
2024-01-02,TikTok,tt_8002,Conversion_Focus,Conversion,ttad_9002,Product_Demo,134567,2567,712.30,71,,95678,71234,48234,36234,24567,4789,1345,245,,,,,6379,0.0474,0.0191,0.28,5.29,0.0277,10.03,,0.7110,0.2568,03_tiktok_ads.csv
2024-01-02,TikTok,tt_8003,Traffic_Campaign,Traffic,ttad_9003,Trending_Sounds,198345,3012,361.20,25,,152345,117234,93234,59234,36234,7123,1967,478,,,,,9568,0.0482,0.0152,0.12,1.82,0.0083,14.45,,0.7681,0.2378,03_tiktok_ads.csv
2024-01-03,Facebook,fb_1001,Brand_Awareness_Q1,Awareness,fbset_2001,Broad_Audience_18-35,48234,967,134.80,14,,8901,,,,,,,,40123,1.2000,,,,0.0201,0.0200,0.14,2.79,0.0145,9.63,,0.1845,,01_facebook_ads.csv
2024-01-03,Facebook,fb_1002,Conversions_Retargeting,Retargeting,fbset_2002,Cart_Abandoners,11234,489,198.70,31,,1123,,,,,,,,8901,1.2600,,,,0.0435,0.0435,0.41,17.69,0.0634,6.41,,0.1000,,01_facebook_ads.csv
2024-01-03,Facebook,fb_1003,Traffic_Drive_Jan,Traffic,fbset_2003,Lookalike_Purchasers,38901,1456,213.40,28,,5234,,,,,,,,31456,1.2400,,,,0.0375,0.0374,0.15,5.49,0.0192,7.62,,0.1345,,01_facebook_ads.csv
